,ETH Price,BTC Price,ETH_Comp,BTC_Comp,Cash,ETH_Value,BTC_Value,Total_Value,ETH_Percentage,BTC_Percentage,Cash_Percentage
2024-08-27 20:00:00,2582.64,62020.0,0.0,3.99266360741991,0,0.0,247624.99693218284,247624.99693218284,0.0,100.0,0.0
2024-08-27 21:00:00,2583.57,61901.0,95.88057063012377,0.0,0,247714.1658628689,0.0,247714.1658628689,100.0,0.0,0.0
2024-08-27 22:00:00,2584.65,61768.0,95.88057063012377,0.0,0,247817.7168791494,0.0,247817.7168791494,100.0,0.0,0.0
2024-08-27 23:00:00,2479.41,60230.0,0.0,4.0120728674904385,0,0.0,241647.1488089491,241647.1488089491,0.0,100.0,0.0
2024-08-28 00:00:00,2455.87,59344.0,97.46155287304202,0.0,0,239352.9038543177,0.0,239352.9038543177,100.0,0.0,0.0
2024-08-28 01:00:00,2457.58,59539.0,93.58956169300492,0.16023704130691732,0,230003.83502549503,9540.353202372551,239544.1882278676,96.0172888046454,3.9827111953545886,0.0
2024-08-28 02:00:00,2441.4,59083.0,92.14058311163527,0.22004625513318998,0,224952.01960874634,13000.992892034265,237953.0125007806,94.53631926933826,5.463680730661737,0.0
2024-08-28 03:00:00,2444.03,59331.0,85.36526365539468,0.5000128262359731,0,208635.26533169427,29666.26099340652,238301.5263251008,87.55095636570343,12.449043634296567,0.0
2024-08-28 04:00:00,2457.69,59214.0,97.50351932058967,0.0,0,239633.42439902003,0.0,239633.42439902003,100.0,0.0,0.0
2024-08-28 05:00:00,2478.03,59575.0,97.50351932058967,0.0,0,241616.64598200086,0.0,241616.64598200086,100.0,0.0,0.0
2024-08-28 06:00:00,2472.5,59332.0,0.0,4.055671774771311,0,0.0,240631.11774073145,240631.11774073145,0.0,100.0,0.0
2024-08-28 07:00:00,2470.22,59317.0,97.32300009736358,0.0,0,240409.22130050944,0.0,240409.22130050944,100.0,0.0,0.0
2024-08-28 08:00:00,2464.32,59118.0,97.32300009736358,0.0,0,239835.01559993502,0.0,239835.01559993502,100.0,0.0,0.0
2024-08-28 09:00:00,2439.82,58695.0,97.32300009736358,0.0,0,237450.60209754962,0.0,237450.60209754962,100.0,0.0,0.0
2024-08-28 10:00:00,2462.99,59128.0,0.0,4.045499652398835,0,0.0,239202.3034470383,239202.3034470383,0.0,100.0,0.0
2024-08-28 11:00:00,2507.2,59741.0,97.11866611193643,0.0,0,243495.91967584702,0.0,243495.91967584702,100.0,0.0,0.0
2024-08-28 12:00:00,2521.85,59742.0,97.11866611193643,0.0,0,244918.7081343869,0.0,244918.7081343869,100.0,0.0,0.0
2024-08-28 13:00:00,2526.78,59858.0,0.0,4.099606778052072,0,0.0,245394.26252064094,245394.26252064094,0.0,100.0,0.0
2024-08-28 14:00:00,2530.06,59945.0,0.0,4.099606778052072,0,0.0,245750.92831033148,245750.92831033148,0.0,100.0,0.0
2024-08-28 15:00:00,2505.99,59742.0,89.66910021934518,0.315000827581533,0,224709.86845867682,18818.779441375947,243528.64790005278,92.27245763336254,7.7275423666374605,0.0
2024-08-28 16:00:00,2500.07,59099.0,97.17861918844561,0.0,0,242953.35047445723,0.0,242953.35047445723,100.0,0.0,0.0
2024-08-28 17:00:00,2496.53,58778.0,51.57114350798177,1.9293369045915705,0,128748.90690198174,113402.56457808333,242151.47148006508,53.168748517219264,46.83125148278073,0.0
2024-08-28 18:00:00,2510.78,58792.0,96.99521795454693,0.0,0,243533.65333591736,0.0,243533.65333591736,100.0,0.0,0.0
2024-08-28 19:00:00,2507.59,58647.0,79.08033061439073,0.7650758748795305,0,198301.04624534005,44869.40483405983,243170.45107939988,81.54816728969709,18.451832710302906,0.0
2024-08-28 20:00:00,2539.52,59057.0,96.97376807189369,0.0,0,246266.82349393546,0.0,246266.82349393546,100.0,0.0,0.0
2024-08-28 21:00:00,2519.01,59196.0,63.573174037391105,1.436264567494116,0,160141.46113192858,85021.11733738169,245162.57846931025,65.32051593346057,34.67948406653944,0.0
2024-08-28 22:00:00,2532.59,59124.0,80.54079449885481,0.714229199924826,0,203976.8107398547,42228.087216355416,246204.89795621013,82.84839677565388,17.151603224346122,0.0
2024-08-28 23:00:00,2537.64,59264.0,97.21466876052187,0.0,0,246695.83203345072,0.0,246695.83203345072,100.0,0.0,0.0
2024-08-29 00:00:00,2529.01,58910.0,0.0,4.162659152832254,0,0.0,245222.2506933481,245222.2506933481,0.0,100.0,0.0
2024-08-29 01:00:00,2527.39,59005.0,96.96373311823523,0.0,0,245065.16944569652,0.0,245065.16944569652,100.0,0.0,0.0
2024-08-29 02:00:00,2530.23,59087.0,96.96373311823523,0.0,0,245340.5464477523,0.0,245340.5464477523,100.0,0.0,0.0
2024-08-29 03:00:00,2524.38,58977.0,0.0,4.15219162333089,0,0.0,244883.80536918592,244883.80536918592,0.0,100.0,0.0
2024-08-29 04:00:00,2528.69,59058.0,97.00750495931116,0.0,0,245301.90771556055,0.0,245301.90771556055,100.0,0.0,0.0
2024-08-29 05:00:00,2525.38,59076.0,97.00750495931116,0.0,0,244980.81287414522,0.0,244980.81287414522,100.0,0.0,0.0
2024-08-29 06:00:00,2524.45,59112.0,0.0,4.146875429516982,0,0.0,245130.1003896078,245130.1003896078,0.0,100.0,0.0
2024-08-29 07:00:00,2540.63,59421.0,97.10237889029604,0.0,0,246701.21688005285,0.0,246701.21688005285,100.0,0.0,0.0
2024-08-29 08:00:00,2555.23,59738.0,68.65817287643334,1.2161727861362144,0,175437.42307904878,72651.72989820517,248089.15297725395,70.71547505147625,29.284524948523742,0.0
2024-08-29 09:00:00,2550.92,59623.0,0.0,4.152953781131842,0,0.0,247611.56329242382,247611.56329242382,0.0,100.0,0.0
2024-08-29 10:00:00,2553.25,59473.0,0.0,4.152953781131842,0,0.0,246988.62022525404,246988.62022525404,0.0,100.0,0.0
2024-08-29 11:00:00,2548.95,59597.0,0.0,4.152953781131842,0,0.0,247503.5864941144,247503.5864941144,0.0,100.0,0.0
2024-08-29 12:00:00,2540.16,59573.0,0.0,4.152953781131842,0,0.0,247403.91560336723,247403.91560336723,0.0,100.0,0.0
2024-08-29 13:00:00,2557.4,60174.0,97.39698113637222,0.0,0,249083.0395581583,0.0,249083.0395581583,100.0,0.0,0.0
2024-08-29 14:00:00,2570.52,60286.0,0.0,4.139379791241372,0,0.0,249546.65009477735,249546.65009477735,0.0,100.0,0.0
2024-08-29 15:00:00,2567.02,60249.0,0.0,4.139379791241372,0,0.0,249393.49304250142,249393.49304250142,0.0,100.0,0.0
2024-08-29 16:00:00,2566.57,60726.0,0.0,4.139379791241372,0,0.0,251367.97720292356,251367.97720292356,0.0,100.0,0.0
2024-08-29 17:00:00,2576.88,60797.0,0.0,4.139379791241372,0,0.0,251661.87316810168,251661.87316810168,0.0,100.0,0.0
2024-08-29 18:00:00,2564.36,60204.0,97.6614639285111,0.0,0,250439.15163971673,0.0,250439.15163971673,100.0,0.0,0.0
2024-08-29 19:00:00,2580.09,60568.0,74.04419986858319,1.0059658372320233,0,191040.69963893283,60929.33882946918,251970.038468402,75.81881591961182,24.181184080388174,0.0
2024-08-29 20:00:00,2516.95,58992.0,97.65939888469084,0.0,0,245803.8240228226,0.0,245803.8240228226,100.0,0.0,0.0
2024-08-29 21:00:00,2524.52,59355.0,97.65939888469084,0.0,0,246543.10567237972,0.0,246543.10567237972,100.0,0.0,0.0
2024-08-29 22:00:00,2534.38,59375.0,86.19884299787682,0.48744676181247953,0,218460.62371695906,28942.151482615973,247402.77519957503,88.30160597055999,11.69839402944001,0.0
2024-08-29 23:00:00,2532.06,59474.0,97.61865829101201,0.0,0,247176.29991233986,0.0,247176.29991233986,100.0,0.0,0.0
2024-08-30 00:00:00,2523.4,59156.0,97.61865829101201,0.0,0,246330.9223315397,0.0,246330.9223315397,100.0,0.0,0.0
2024-08-30 01:00:00,2527.22,59324.0,97.61865829101201,0.0,0,246703.82560621135,0.0,246703.82560621135,100.0,0.0,0.0
2024-08-30 02:00:00,2524.64,59299.0,4.813107386772813,3.9535440016892216,0,12151.363432942115,234441.20575616916,246592.56918911127,4.9277086786922855,95.07229132130772,0.0
2024-08-30 03:00:00,2525.25,59125.0,97.67434928905162,0.0,0,246652.1505421776,0.0,246652.1505421776,100.0,0.0,0.0
2024-08-30 04:00:00,2517.09,59048.0,97.67434928905162,0.0,0,245855.12785197896,0.0,245855.12785197896,100.0,0.0,0.0
2024-08-30 05:00:00,2519.95,59018.0,1.4597836145236158,4.1014212354982,0,3678.5817194187853,242057.67847663275,245736.26019605153,1.496963336417656,98.50303666358235,0.0
2024-08-30 06:00:00,2520.19,58964.0,0.0,4.163751062320843,0,0.0,245511.4176386862,245511.4176386862,0.0,100.0,0.0
2024-08-30 07:00:00,2513.57,58806.0,97.41782073521686,0.0,0,244866.51166541906,0.0,244866.51166541906,100.0,0.0,0.0
2024-08-30 08:00:00,2527.94,59147.0,0.0,4.163971561837552,0,0.0,246286.42596800567,246286.42596800567,0.0,100.0,0.0
2024-08-30 09:00:00,2518.38,59278.0,97.42574031345904,0.0,0,245355.035890609,0.0,245355.035890609,100.0,0.0,0.0
2024-08-30 10:00:00,2519.21,59334.0,0.0,4.139057253797514,0,0.0,245586.8230968217,245586.8230968217,0.0,100.0,0.0
2024-08-30 11:00:00,2525.02,59499.0,97.4856495079099,0.0,0,246153.21472046265,0.0,246153.21472046265,100.0,0.0,0.0
2024-08-30 12:00:00,2518.02,59497.0,97.4856495079099,0.0,0,245470.8151739073,0.0,245470.8151739073,100.0,0.0,0.0
2024-08-30 13:00:00,2513.91,59415.0,0.0,4.12576794080218,0,0.0,245132.5022027615,245132.5022027615,0.0,100.0,0.0
2024-08-30 14:00:00,2523.22,59537.0,97.51045272215852,0.0,0,246040.3245176048,0.0,246040.3245176048,100.0,0.0,0.0
2024-08-30 15:00:00,2522.27,59244.0,0.0,4.132561676228309,0,0.0,244829.48394646993,244829.48394646993,0.0,100.0,0.0
2024-08-30 16:00:00,2482.25,58809.0,97.06711967650962,0.0,0,240944.85781701602,0.0,240944.85781701602,100.0,0.0,0.0
2024-08-30 17:00:00,2447.92,58136.0,97.06711967650962,0.0,0,237612.54359852144,0.0,237612.54359852144,100.0,0.0,0.0
